inventory_id,store_id,product_id,current_stock,warehouse_stock,reorder_level,last_updated
I00001,S022,P0010,311,1967,38,2026-07-07T17:17:32.611597
I00002,S038,P0230,195,1146,87,2026-07-07T17:17:32.611597
I00003,S041,P0380,119,1131,45,2026-07-07T17:17:32.611597
I00004,S038,P0361,6,576,56,2026-07-07T17:17:32.611597
I00005,S002,P0316,388,1936,83,2026-07-07T17:17:32.611597
I00006,S008,P0159,121,1611,80,2026-07-07T17:17:32.611597
I00007,S028,P0388,124,1369,86,2026-07-07T17:17:32.611597
I00008,S006,P0031,70,867,67,2026-07-07T17:17:32.611597
I00009,S032,P0152,103,410,41,2026-07-07T17:17:32.611597
I00010,S025,P0105,328,177,82,2026-07-07T17:17:32.611597
I00011,S016,P0473,371,1324,47,2026-07-07T17:17:32.611597
I00012,S029,P0379,449,773,99,2026-07-07T17:17:32.611597
I00013,S009,P0143,162,1418,58,2026-07-07T17:17:32.611597
I00014,S049,P0021,266,1721,48,2026-07-07T17:17:32.611597
I00015,S027,P0332,416,690,46,2026-07-07T17:17:32.611597
I00016,S049,P0013,117,1834,22,2026-07-07T17:17:32.611597
I00017,S047,P0170,175,596,47,2026-07-07T17:17:32.611597
I00018,S014,P0277,27,1956,79,2026-07-07T17:17:32.611597
I00019,S043,P0128,410,1507,63,2026-07-07T17:17:32.611597
I00020,S045,P0369,113,1345,84,2026-07-07T17:17:32.611597
I00021,S025,P0267,164,475,24,2026-07-07T17:17:32.611597
I00022,S029,P0323,3,232,64,2026-07-07T17:17:32.611597
I00023,S032,P0036,488,494,24,2026-07-07T17:17:32.611597
I00024,S004,P0325,72,518,93,2026-07-07T17:17:32.611597
I00025,S009,P0047,88,1313,43,2026-07-07T17:17:32.611597
I00026,S036,P0426,407,518,88,2026-07-07T17:17:32.611597
I00027,S016,P0260,40,972,82,2026-07-07T17:17:32.611597
I00028,S047,P0240,159,436,92,2026-07-07T17:17:32.611597
I00029,S047,P0102,125,968,100,2026-07-07T17:17:32.611597
I00030,S012,P0311,127,720,30,2026-07-07T17:17:32.611597
I00031,S019,P0296,229,1401,72,2026-07-07T17:17:32.611597
I00032,S013,P0140,441,1700,69,2026-07-07T17:17:32.611597
I00033,S031,P0041,486,836,37,2026-07-07T17:17:32.611597
I00034,S026,P0194,85,1064,86,2026-07-07T17:17:32.611597
I00035,S029,P0217,258,1348,68,2026-07-07T17:17:32.611597
I00036,S048,P0222,389,419,80,2026-07-07T17:17:32.611597
I00037,S031,P0011,390,881,80,2026-07-07T17:17:32.611597
I00038,S028,P0438,42,1654,73,2026-07-07T17:17:32.611597
I00039,S020,P0305,275,412,41,2026-07-07T17:17:32.611597
I00040,S036,P0373,89,626,37,2026-07-07T17:17:32.611597
I00041,S025,P0238,156,1028,43,2026-07-07T17:17:32.611597
I00042,S019,P0193,287,1341,33,2026-07-07T17:17:32.611597
I00043,S031,P0037,170,379,88,2026-07-07T17:17:32.611597
I00044,S046,P0241,100,416,44,2026-07-07T17:17:32.611597
I00045,S013,P0003,6,1864,90,2026-07-07T17:17:32.611597
I00046,S033,P0374,371,866,23,2026-07-07T17:17:32.611597
I00047,S032,P0208,473,951,31,2026-07-07T17:17:32.611597
I00048,S026,P0497,380,864,28,2026-07-07T17:17:32.611597
I00049,S025,P0251,157,1412,49,2026-07-07T17:17:32.611597
I00050,S038,P0037,209,1912,88,2026-07-07T17:17:32.611597
I00051,S003,P0472,63,888,94,2026-07-07T17:17:32.611597
I00052,S037,P0084,99,1662,96,2026-07-07T17:17:32.611597
I00053,S028,P0491,130,1679,97,2026-07-07T17:17:32.611597
I00054,S049,P0370,178,1143,35,2026-07-07T17:17:32.611597
I00055,S046,P0251,325,1510,49,2026-07-07T17:17:32.611597
I00056,S024,P0357,29,1433,34,2026-07-07T17:17:32.611597
I00057,S025,P0475,217,1606,25,2026-07-07T17:17:32.611597
I00058,S016,P0125,244,170,32,2026-07-07T17:17:32.611597
I00059,S024,P0324,361,1485,54,2026-07-07T17:17:32.611597
I00060,S002,P0358,340,1421,56,2026-07-07T17:17:32.611597
I00061,S010,P0134,309,1032,55,2026-07-07T17:17:32.611597
I00062,S044,P0076,130,606,86,2026-07-07T17:17:32.611597
I00063,S039,P0297,487,1457,53,2026-07-07T17:17:32.611597
I00064,S011,P0007,59,1678,66,2026-07-07T17:17:32.611597
I00065,S006,P0330,364,1977,61,2026-07-07T17:17:32.611597
I00066,S025,P0204,361,1300,39,2026-07-07T17:17:32.611597
I00067,S006,P0266,465,486,30,2026-07-07T17:17:32.611597
I00068,S028,P0085,424,974,88,2026-07-07T17:17:32.611597
I00069,S017,P0355,154,1125,82,2026-07-07T17:17:32.611597
I00070,S035,P0338,453,883,81,2026-07-07T17:17:32.611597
I00071,S038,P0158,375,942,20,2026-07-07T17:17:32.611597
I00072,S049,P0449,473,1590,33,2026-07-07T17:17:32.611597
I00073,S006,P0056,325,1272,55,2026-07-07T17:17:32.611597
I00074,S050,P0409,176,1767,52,2026-07-07T17:17:32.611597
I00075,S010,P0138,383,529,53,2026-07-07T17:17:32.611597
I00076,S048,P0204,357,730,39,2026-07-07T17:17:32.611597
I00077,S001,P0087,417,1107,53,2026-07-07T17:17:32.611597
I00078,S001,P0050,35,1684,51,2026-07-07T17:17:32.611597
I00079,S045,P0214,268,953,96,2026-07-07T17:17:32.611597
I00080,S042,P0148,375,982,63,2026-07-07T17:17:32.611597
I00081,S011,P0091,191,481,95,2026-07-07T17:17:32.611597
I00082,S046,P0069,101,1096,55,2026-07-07T17:17:32.611597
I00083,S012,P0258,485,325,24,2026-07-07T17:17:32.611597
I00084,S029,P0291,416,535,66,2026-07-07T17:17:32.611597
I00085,S012,P0103,30,1635,42,2026-07-07T17:17:32.611597
I00086,S012,P0415,388,492,51,2026-07-07T17:17:32.611597
I00087,S017,P0462,446,937,42,2026-07-07T17:17:32.611597
I00088,S029,P0321,467,1378,53,2026-07-07T17:17:32.611597
I00089,S007,P0445,325,440,27,2026-07-07T17:17:32.611597
I00090,S006,P0151,43,873,36,2026-07-07T17:17:32.611597
I00091,S008,P0142,32,800,20,2026-07-07T17:17:32.611597
I00092,S002,P0300,120,1078,60,2026-07-07T17:17:32.611597
I00093,S032,P0345,389,306,33,2026-07-07T17:17:32.611597
I00094,S001,P0032,136,1639,24,2026-07-07T17:17:32.611597
I00095,S001,P0341,298,1716,65,2026-07-07T17:17:32.611597
I00096,S003,P0050,108,1169,51,2026-07-07T17:17:32.611597
I00097,S001,P0193,308,1165,33,2026-07-07T17:17:32.611597
I00098,S049,P0137,477,1095,33,2026-07-07T17:17:32.611597
I00099,S031,P0388,172,1337,86,2026-07-07T17:17:32.611597
I00100,S028,P0173,189,1496,63,2026-07-07T17:17:32.611597
I00101,S022,P0162,418,590,87,2026-07-07T17:17:32.611597
I00102,S024,P0341,204,875,65,2026-07-07T17:17:32.611597
I00103,S040,P0030,499,829,65,2026-07-07T17:17:32.611597
I00104,S022,P0413,51,106,54,2026-07-07T17:17:32.611597
I00105,S030,P0446,357,922,27,2026-07-07T17:17:32.611597
I00106,S047,P0428,454,1994,21,2026-07-07T17:17:32.611597
I00107,S009,P0014,308,351,45,2026-07-07T17:17:32.611597
I00108,S034,P0144,486,1532,57,2026-07-07T17:17:32.611597
I00109,S049,P0418,127,854,41,2026-07-07T17:17:32.611597
I00110,S029,P0317,351,1449,38,2026-07-07T17:17:32.611597
I00111,S031,P0264,211,1452,64,2026-07-07T17:17:32.611597
I00112,S013,P0002,326,1764,70,2026-07-07T17:17:32.611597
I00113,S021,P0009,324,837,45,2026-07-07T17:17:32.611597
I00114,S003,P0497,413,1606,28,2026-07-07T17:17:32.611597
I00115,S021,P0348,227,578,58,2026-07-07T17:17:32.611597
I00116,S039,P0249,204,1613,30,2026-07-07T17:17:32.611597
I00117,S040,P0407,41,813,63,2026-07-07T17:17:32.611597
I00118,S028,P0481,476,1075,64,2026-07-07T17:17:32.611597
I00119,S043,P0439,358,1953,93,2026-07-07T17:17:32.611597
I00120,S007,P0376,197,701,39,2026-07-07T17:17:32.611597
I00121,S039,P0100,364,393,57,2026-07-07T17:17:32.611597
I00122,S034,P0449,292,1707,33,2026-07-07T17:17:32.611597
I00123,S046,P0259,16,361,24,2026-07-07T17:17:32.611597
I00124,S032,P0408,44,717,52,2026-07-07T17:17:32.611597
I00125,S044,P0281,447,1056,50,2026-07-07T17:17:32.611597
I00126,S011,P0459,228,336,62,2026-07-07T17:17:32.611597
I00127,S031,P0340,276,593,85,2026-07-07T17:17:32.611597
I00128,S016,P0109,87,1642,24,2026-07-07T17:17:32.611597
I00129,S043,P0359,45,316,63,2026-07-07T17:17:32.611597
I00130,S028,P0367,14,428,34,2026-07-07T17:17:32.611597
I00131,S021,P0463,196,1669,45,2026-07-07T17:17:32.611597
I00132,S018,P0113,368,627,80,2026-07-07T17:17:32.611597
I00133,S043,P0244,487,1938,60,2026-07-07T17:17:32.611597
I00134,S043,P0064,340,378,62,2026-07-07T17:17:32.611597
I00135,S035,P0325,371,1107,93,2026-07-07T17:17:32.611597
I00136,S006,P0408,354,781,52,2026-07-07T17:17:32.611597
I00137,S015,P0478,294,1669,30,2026-07-07T17:17:32.611597
I00138,S039,P0034,329,802,61,2026-07-07T17:17:32.611597
I00139,S025,P0467,367,1621,74,2026-07-07T17:17:32.611597
I00140,S048,P0372,195,1439,73,2026-07-07T17:17:32.611597
I00141,S042,P0402,287,1853,55,2026-07-07T17:17:32.611597
I00142,S028,P0414,119,557,72,2026-07-07T17:17:32.611597
I00143,S017,P0060,148,279,43,2026-07-07T17:17:32.611597
I00144,S008,P0046,174,1616,26,2026-07-07T17:17:32.611597
I00145,S038,P0480,96,1624,44,2026-07-07T17:17:32.611597
I00146,S008,P0294,188,360,52,2026-07-07T17:17:32.611597
I00147,S021,P0489,194,1281,28,2026-07-07T17:17:32.611597
I00148,S048,P0001,159,226,70,2026-07-07T17:17:32.611597
I00149,S038,P0275,97,1834,89,2026-07-07T17:17:32.611597
I00150,S025,P0217,163,1679,68,2026-07-07T17:17:32.611597
I00151,S024,P0409,347,1731,52,2026-07-07T17:17:32.611597
I00152,S009,P0267,339,1332,24,2026-07-07T17:17:32.611597
I00153,S038,P0114,54,909,24,2026-07-07T17:17:32.611597
I00154,S001,P0276,436,1043,90,2026-07-07T17:17:32.611597
I00155,S021,P0075,417,707,32,2026-07-07T17:17:32.611597
I00156,S015,P0256,348,1033,29,2026-07-07T17:17:32.611597
I00157,S010,P0308,145,398,83,2026-07-07T17:17:32.611597
I00158,S048,P0341,434,1741,65,2026-07-07T17:17:32.611597
I00159,S045,P0018,306,755,25,2026-07-07T17:17:32.611597
I00160,S020,P0258,352,352,24,2026-07-07T17:17:32.611597
I00161,S018,P0435,361,1275,22,2026-07-07T17:17:32.611597
I00162,S031,P0324,424,541,54,2026-07-07T17:17:32.611597
I00163,S032,P0150,360,871,24,2026-07-07T17:17:32.611597
I00164,S004,P0415,170,412,51,2026-07-07T17:17:32.611597
I00165,S046,P0108,434,1600,50,2026-07-07T17:17:32.611597
I00166,S015,P0359,376,207,63,2026-07-07T17:17:32.611597
I00167,S050,P0092,438,1098,63,2026-07-07T17:17:32.611597
I00168,S047,P0201,153,1769,93,2026-07-07T17:17:32.611597
I00169,S043,P0468,434,426,61,2026-07-07T17:17:32.611597
I00170,S002,P0281,200,791,50,2026-07-07T17:17:32.611597
I00171,S028,P0348,242,813,58,2026-07-07T17:17:32.611597
I00172,S049,P0201,200,247,93,2026-07-07T17:17:32.611597
I00173,S034,P0373,144,678,37,2026-07-07T17:17:32.611597
I00174,S045,P0473,99,1535,47,2026-07-07T17:17:32.611597
I00175,S036,P0202,49,368,24,2026-07-07T17:17:32.611597
I00176,S021,P0386,405,1288,92,2026-07-07T17:17:32.611597
I00177,S004,P0436,478,1553,26,2026-07-07T17:17:32.611597
I00178,S020,P0235,335,435,34,2026-07-07T17:17:32.611597
I00179,S037,P0071,226,1525,24,2026-07-07T17:17:32.611597
I00180,S031,P0150,459,396,24,2026-07-07T17:17:32.611597
I00181,S014,P0112,411,1632,98,2026-07-07T17:17:32.611597
I00182,S013,P0377,333,118,90,2026-07-07T17:17:32.611597
I00183,S024,P0372,438,1278,73,2026-07-07T17:17:32.611597
I00184,S007,P0348,402,1858,58,2026-07-07T17:17:32.611597
I00185,S010,P0193,486,974,33,2026-07-07T17:17:32.611597
I00186,S044,P0431,86,1996,20,2026-07-07T17:17:32.611597
I00187,S004,P0050,182,1070,51,2026-07-07T17:17:32.611597
I00188,S012,P0484,26,340,30,2026-07-07T17:17:32.611597
I00189,S033,P0333,173,1315,58,2026-07-07T17:17:32.611597
I00190,S028,P0497,76,1384,28,2026-07-07T17:17:32.611597
I00191,S047,P0207,125,169,34,2026-07-07T17:17:32.611597
I00192,S008,P0124,203,1100,21,2026-07-07T17:17:32.611597
I00193,S020,P0353,305,453,70,2026-07-07T17:17:32.611597
I00194,S042,P0382,192,1688,86,2026-07-07T17:17:32.611597
I00195,S045,P0408,343,1448,52,2026-07-07T17:17:32.611597
I00196,S006,P0399,237,1871,80,2026-07-07T17:17:32.611597
I00197,S042,P0196,140,1395,86,2026-07-07T17:17:32.611597
I00198,S042,P0228,188,123,86,2026-07-07T17:17:32.611597
I00199,S008,P0060,42,349,43,2026-07-07T17:17:32.611597
I00200,S032,P0329,342,1960,77,2026-07-07T17:17:32.611597
I00201,S033,P0116,11,1301,99,2026-07-07T17:17:32.611597
I00202,S037,P0294,245,660,52,2026-07-07T17:17:32.611597
I00203,S045,P0382,48,1726,86,2026-07-07T17:17:32.611597
I00204,S038,P0093,196,1091,89,2026-07-07T17:17:32.611597
I00205,S042,P0360,222,711,69,2026-07-07T17:17:32.611597
I00206,S037,P0065,50,766,62,2026-07-07T17:17:32.611597
I00207,S005,P0366,465,1865,85,2026-07-07T17:17:32.611597
I00208,S035,P0095,207,1764,59,2026-07-07T17:17:32.611597
I00209,S045,P0011,201,1238,80,2026-07-07T17:17:32.611597
I00210,S035,P0402,415,1185,55,2026-07-07T17:17:32.611597
I00211,S032,P0033,265,1814,45,2026-07-07T17:17:32.611597
I00212,S038,P0276,365,1776,90,2026-07-07T17:17:32.611597
I00213,S042,P0064,385,1642,62,2026-07-07T17:17:32.611597
I00214,S014,P0495,337,1938,59,2026-07-07T17:17:32.611597
I00215,S008,P0093,441,1326,89,2026-07-07T17:17:32.611597
I00216,S045,P0093,2,1236,89,2026-07-07T17:17:32.611597
I00217,S029,P0410,160,351,98,2026-07-07T17:17:32.611597
I00218,S003,P0066,294,522,81,2026-07-07T17:17:32.611597
I00219,S042,P0083,44,1251,26,2026-07-07T17:17:32.611597
I00220,S017,P0436,385,171,26,2026-07-07T17:17:32.611597
I00221,S006,P0064,259,711,62,2026-07-07T17:17:32.611597
I00222,S024,P0495,278,451,59,2026-07-07T17:17:32.611597
I00223,S028,P0484,336,100,30,2026-07-07T17:17:32.611597
I00224,S016,P0154,23,1163,61,2026-07-07T17:17:32.611597
I00225,S019,P0338,273,1011,81,2026-07-07T17:17:32.611597
I00226,S009,P0296,251,1523,72,2026-07-07T17:17:32.611597
I00227,S021,P0268,466,821,80,2026-07-07T17:17:32.611597
I00228,S039,P0276,261,529,90,2026-07-07T17:17:32.611597
I00229,S045,P0051,339,1778,38,2026-07-07T17:17:32.611597
I00230,S003,P0122,18,485,53,2026-07-07T17:17:32.611597
I00231,S010,P0154,438,1805,61,2026-07-07T17:17:32.611597
I00232,S014,P0491,68,1333,97,2026-07-07T17:17:32.611597
I00233,S036,P0111,302,835,51,2026-07-07T17:17:32.611597
I00234,S018,P0066,373,1374,81,2026-07-07T17:17:32.611597
I00235,S028,P0039,281,622,74,2026-07-07T17:17:32.611597
I00236,S017,P0196,332,1950,86,2026-07-07T17:17:32.611597
I00237,S011,P0205,233,270,57,2026-07-07T17:17:32.611597
I00238,S017,P0347,217,1522,82,2026-07-07T17:17:32.611597
I00239,S010,P0275,104,244,89,2026-07-07T17:17:32.611597
I00240,S041,P0376,137,1396,39,2026-07-07T17:17:32.611597
I00241,S045,P0331,98,1563,71,2026-07-07T17:17:32.611597
I00242,S024,P0289,336,1426,76,2026-07-07T17:17:32.611597
I00243,S033,P0310,83,959,50,2026-07-07T17:17:32.611597
I00244,S010,P0162,403,988,87,2026-07-07T17:17:32.611597
I00245,S025,P0014,493,1336,45,2026-07-07T17:17:32.611597
I00246,S016,P0040,138,355,77,2026-07-07T17:17:32.611597
I00247,S035,P0057,350,1223,27,2026-07-07T17:17:32.611597
I00248,S027,P0034,168,1411,61,2026-07-07T17:17:32.611597
I00249,S006,P0186,465,783,79,2026-07-07T17:17:32.611597
I00250,S050,P0140,74,1879,69,2026-07-07T17:17:32.611597
I00251,S015,P0141,5,300,82,2026-07-07T17:17:32.611597
I00252,S025,P0497,113,875,28,2026-07-07T17:17:32.611597
I00253,S007,P0401,473,352,72,2026-07-07T17:17:32.611597
I00254,S012,P0270,372,1893,41,2026-07-07T17:17:32.611597
I00255,S020,P0302,420,1752,37,2026-07-07T17:17:32.611597
I00256,S032,P0049,270,814,95,2026-07-07T17:17:32.611597
I00257,S045,P0293,443,677,66,2026-07-07T17:17:32.611597
